ORDER_ID,ORDER_DATE,CUSTOMER_ID,PRODUCT_ID,PRODUCT,REGION,SALESPERSON,QUANTITY,UNIT_PRICE,TOTAL_SALES
5001,2026-05-01,1001,2001,Laptop,East,Raj,2,800,1600
5002,2026-05-02,1002,2002,Mouse,North,Amit,5,20,100
5003,2026-05-02,1003,2003,Keyboard,South,Kiran,3,45,135
5004,2026-05-03,1004,2004,Office Chair,West,Neha,1,150,150
5005,2026-05-03,1005,2005,Desk,East,Raj,1,300,300
5006,2026-05-04,1006,2006,Monitor,North,Amit,2,250,500
5007,2026-05-05,1007,2007,Printer,South,Kiran,1,180,180
5008,2026-05-05,1008,2008,Notebook,West,Neha,20,5,100
5009,2026-05-06,1001,2002,Mouse,East,Raj,10,20,200
5010,2026-05-07,1003,2006,Monitor,South,Kiran,1,250,250
